product_id,field,state,value,reason,method,review_status,physical_pages,source_sha256
product:B24,normalizedCategory,known,base_cabinet,,derived,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B24,sku,known,B24,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B24,widthIn,known,24,,derived,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B24FD,depthIn,known,24,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B24FD,heightIn,known,34.5,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B24FD,manufacturerCategory,known,Base Cabinets,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B24FD,normalizedCategory,known,base_cabinet,,derived,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B24FD,sku,known,B24FD,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B24FD,widthIn,known,24,,derived,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B27,depthIn,known,24,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B27,heightIn,known,34.5,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B27,manufacturerCategory,known,Base Cabinets,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B27,normalizedCategory,known,base_cabinet,,derived,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B27,sku,known,B27,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B27,widthIn,known,27,,derived,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B27FD,depthIn,known,24,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B27FD,heightIn,known,34.5,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B27FD,manufacturerCategory,known,Base Cabinets,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B27FD,normalizedCategory,known,base_cabinet,,derived,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B27FD,sku,known,B27FD,,text,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B27FD,widthIn,known,27,,derived,unreviewed,51,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B30,depthIn,known,24,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B30,heightIn,known,34.5,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B30,manufacturerCategory,known,Base Cabinets,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B30,normalizedCategory,known,base_cabinet,,derived,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
product:B30,sku,known,B30,,text,unreviewed,52,18424d5f3fc49f84d7a5095bc6d2a169a8d417a16e5d9ca1ee8fd7db1c2bc530
